i: 0, d: 2, x: 3
i: 1, d: 3, x: 2
i: 2, d: 5, x: 9
i: 3, d: 6, x: 5
i: 4, d: 7, x: 8
i: 5, d: 8, x: 3
i: 6, d: 10, x: 19
i: 7, d: 11, x: 10
i: 8, d: 12, x: 7
i: 9, d: 13, x: 649
i: 10, d: 14, x: 15
i: 11, d: 15, x: 4
i: 12, d: 17, x: 33
i: 13, d: 18, x: 17
i: 14, d: 19, x: 170
i: 15, d: 20, x: 9
i: 16, d: 21, x: 55
i: 17, d: 22, x: 197
i: 18, d: 23, x: 24
i: 19, d: 24, x: 5
i: 20, d: 26, x: 51
i: 21, d: 27, x: 26
i: 22, d: 28, x: 127
i: 23, d: 29, x: 9801
i: 24, d: 30, x: 11
i: 25, d: 31, x: 1520
i: 26, d: 32, x: 17
i: 27, d: 33, x: 23
i: 28, d: 34, x: 35
i: 29, d: 35, x: 6
i: 30, d: 37, x: 73
i: 31, d: 38, x: 37
i: 32, d: 39, x: 25
i: 33, d: 40, x: 19
i: 34, d: 41, x: 2049
i: 35, d: 42, x: 13
i: 36, d: 43, x: 3482
i: 37, d: 44, x: 199
i: 38, d: 45, x: 161
i: 39, d: 46, x: 24335
i: 40, d: 47, x: 48
i: 41, d: 48, x: 7
i: 42, d: 50, x: 99
i: 43, d: 51, x: 50
i: 44, d: 52, x: 649
i: 45, d: 53, x: 66249
i: 46, d: 54, x: 485
i: 47, d: 55, x: 89
i: 48, d: 56, x: 15
i: 49, d: 57, x: 151
i: 50, d: 58, x: 19603
i: 51, d: 59, x: 530
i: 52, d: 60, x: 31
i: 53, d: 61, x: 1766319049
i: 54, d: 62, x: 63
i: 55, d: 63, x: 8
i: 56, d: 65, x: 129
i: 57, d: 66, x: 65
i: 58, d: 67, x: 48842
i: 59, d: 68, x: 33
i: 60, d: 69, x: 7775
i: 61, d: 70, x: 251
i: 62, d: 71, x: 3480
i: 63, d: 72, x: 17
i: 64, d: 73, x: 2281249
i: 65, d: 74, x: 3699
i: 66, d: 75, x: 26
i: 67, d: 76, x: 57799
i: 68, d: 77, x: 351
i: 69, d: 78, x: 53
i: 70, d: 79, x: 80
i: 71, d: 80, x: 9
i: 72, d: 82, x: 163
i: 73, d: 83, x: 82
i: 74, d: 84, x: 55
i: 75, d: 85, x: 285769
i: 76, d: 86, x: 10405
i: 77, d: 87, x: 28
i: 78, d: 88, x: 197
i: 79, d: 89, x: 500001
i: 80, d: 90, x: 19
i: 81, d: 91, x: 1574
i: 82, d: 92, x: 1151
i: 83, d: 93, x: 12151
i: 84, d: 94, x: 2143295
i: 85, d: 95, x: 39
i: 86, d: 96, x: 49
i: 87, d: 97, x: 62809633
i: 88, d: 98, x: 99
i: 89, d: 99, x: 10
i: 90, d: 101, x: 201
i: 91, d: 102, x: 101
i: 92, d: 103, x: 227528
i: 93, d: 104, x: 51
i: 94, d: 105, x: 41
i: 95, d: 106, x: 32080051
i: 96, d: 107, x: 962
i: 97, d: 108, x: 1351
i: 98, d: 109, x: 0
i: 99, d: 110, x: 21
i: 100, d: 111, x: 295
i: 101, d: 112, x: 127
i: 102, d: 113, x: 1204353
i: 103, d: 114, x: 1025
i: 104, d: 115, x: 1126
i: 105, d: 116, x: 9801
i: 106, d: 117, x: 649
i: 107, d: 118, x: 306917
i: 108, d: 119, x: 120
i: 109, d: 120, x: 11
i: 110, d: 122, x: 243
i: 111, d: 123, x: 122
i: 112, d: 124, x: 4620799
i: 113, d: 125, x: 930249
i: 114, d: 126, x: 449
i: 115, d: 127, x: 4730624
i: 116, d: 128, x: 577
i: 117, d: 129, x: 16855
