3^2 + 4^2 = 5^2 p = 12
6^2 + 8^2 = 10^2 p = 24
5^2 + 12^2 = 13^2 p = 30
9^2 + 12^2 = 15^2 p = 36
8^2 + 15^2 = 17^2 p = 40
12^2 + 16^2 = 20^2 p = 48
7^2 + 24^2 = 25^2 p = 56
15^2 + 20^2 = 25^2 p = 60
10^2 + 24^2 = 26^2 p = 60
20^2 + 21^2 = 29^2 p = 70
18^2 + 24^2 = 30^2 p = 72
16^2 + 30^2 = 34^2 p = 80
21^2 + 28^2 = 35^2 p = 84
12^2 + 35^2 = 37^2 p = 84
15^2 + 36^2 = 39^2 p = 90
24^2 + 32^2 = 40^2 p = 96
9^2 + 40^2 = 41^2 p = 90
27^2 + 36^2 = 45^2 p = 108
14^2 + 48^2 = 50^2 p = 112
30^2 + 40^2 = 50^2 p = 120
24^2 + 45^2 = 51^2 p = 120
20^2 + 48^2 = 52^2 p = 120
28^2 + 45^2 = 53^2 p = 126
33^2 + 44^2 = 55^2 p = 132
40^2 + 42^2 = 58^2 p = 140
36^2 + 48^2 = 60^2 p = 144
11^2 + 60^2 = 61^2 p = 132
16^2 + 63^2 = 65^2 p = 144
25^2 + 60^2 = 65^2 p = 150
33^2 + 56^2 = 65^2 p = 154
39^2 + 52^2 = 65^2 p = 156
32^2 + 60^2 = 68^2 p = 160
42^2 + 56^2 = 70^2 p = 168
48^2 + 55^2 = 73^2 p = 176
24^2 + 70^2 = 74^2 p = 168
21^2 + 72^2 = 75^2 p = 168
45^2 + 60^2 = 75^2 p = 180
30^2 + 72^2 = 78^2 p = 180
48^2 + 64^2 = 80^2 p = 192
18^2 + 80^2 = 82^2 p = 180
13^2 + 84^2 = 85^2 p = 182
36^2 + 77^2 = 85^2 p = 198
40^2 + 75^2 = 85^2 p = 200
51^2 + 68^2 = 85^2 p = 204
60^2 + 63^2 = 87^2 p = 210
39^2 + 80^2 = 89^2 p = 208
54^2 + 72^2 = 90^2 p = 216
35^2 + 84^2 = 91^2 p = 210
57^2 + 76^2 = 95^2 p = 228
65^2 + 72^2 = 97^2 p = 234
28^2 + 96^2 = 100^2 p = 224
60^2 + 80^2 = 100^2 p = 240
20^2 + 99^2 = 101^2 p = 220
48^2 + 90^2 = 102^2 p = 240
40^2 + 96^2 = 104^2 p = 240
63^2 + 84^2 = 105^2 p = 252
56^2 + 90^2 = 106^2 p = 252
60^2 + 91^2 = 109^2 p = 260
66^2 + 88^2 = 110^2 p = 264
36^2 + 105^2 = 111^2 p = 252
15^2 + 112^2 = 113^2 p = 240
69^2 + 92^2 = 115^2 p = 276
80^2 + 84^2 = 116^2 p = 280
45^2 + 108^2 = 117^2 p = 270
56^2 + 105^2 = 119^2 p = 280
72^2 + 96^2 = 120^2 p = 288
22^2 + 120^2 = 122^2 p = 264
27^2 + 120^2 = 123^2 p = 270
35^2 + 120^2 = 125^2 p = 280
44^2 + 117^2 = 125^2 p = 286
75^2 + 100^2 = 125^2 p = 300
32^2 + 126^2 = 130^2 p = 288
50^2 + 120^2 = 130^2 p = 300
66^2 + 112^2 = 130^2 p = 308
78^2 + 104^2 = 130^2 p = 312
81^2 + 108^2 = 135^2 p = 324
64^2 + 120^2 = 136^2 p = 320
88^2 + 105^2 = 137^2 p = 330
84^2 + 112^2 = 140^2 p = 336
55^2 + 132^2 = 143^2 p = 330
17^2 + 144^2 = 145^2 p = 306
24^2 + 143^2 = 145^2 p = 312
87^2 + 116^2 = 145^2 p = 348
100^2 + 105^2 = 145^2 p = 350
96^2 + 110^2 = 146^2 p = 352
48^2 + 140^2 = 148^2 p = 336
51^2 + 140^2 = 149^2 p = 340
42^2 + 144^2 = 150^2 p = 336
90^2 + 120^2 = 150^2 p = 360
72^2 + 135^2 = 153^2 p = 360
93^2 + 124^2 = 155^2 p = 372
60^2 + 144^2 = 156^2 p = 360
85^2 + 132^2 = 157^2 p = 374
84^2 + 135^2 = 159^2 p = 378
96^2 + 128^2 = 160^2 p = 384
36^2 + 160^2 = 164^2 p = 360
99^2 + 132^2 = 165^2 p = 396
65^2 + 156^2 = 169^2 p = 390
119^2 + 120^2 = 169^2 p = 408
26^2 + 168^2 = 170^2 p = 364
72^2 + 154^2 = 170^2 p = 396
80^2 + 150^2 = 170^2 p = 400
102^2 + 136^2 = 170^2 p = 408
52^2 + 165^2 = 173^2 p = 390
120^2 + 126^2 = 174^2 p = 420
49^2 + 168^2 = 175^2 p = 392
105^2 + 140^2 = 175^2 p = 420
78^2 + 160^2 = 178^2 p = 416
108^2 + 144^2 = 180^2 p = 432
19^2 + 180^2 = 181^2 p = 380
70^2 + 168^2 = 182^2 p = 420
33^2 + 180^2 = 183^2 p = 396
57^2 + 176^2 = 185^2 p = 418
60^2 + 175^2 = 185^2 p = 420
104^2 + 153^2 = 185^2 p = 442
111^2 + 148^2 = 185^2 p = 444
88^2 + 165^2 = 187^2 p = 440
114^2 + 152^2 = 190^2 p = 456
95^2 + 168^2 = 193^2 p = 456
130^2 + 144^2 = 194^2 p = 468
48^2 + 189^2 = 195^2 p = 432
75^2 + 180^2 = 195^2 p = 450
99^2 + 168^2 = 195^2 p = 462
117^2 + 156^2 = 195^2 p = 468
28^2 + 195^2 = 197^2 p = 420
56^2 + 192^2 = 200^2 p = 448
120^2 + 160^2 = 200^2 p = 480
40^2 + 198^2 = 202^2 p = 440
140^2 + 147^2 = 203^2 p = 490
96^2 + 180^2 = 204^2 p = 480
45^2 + 200^2 = 205^2 p = 450
84^2 + 187^2 = 205^2 p = 476
123^2 + 164^2 = 205^2 p = 492
133^2 + 156^2 = 205^2 p = 494
80^2 + 192^2 = 208^2 p = 480
126^2 + 168^2 = 210^2 p = 504
112^2 + 180^2 = 212^2 p = 504
129^2 + 172^2 = 215^2 p = 516
120^2 + 182^2 = 218^2 p = 520
144^2 + 165^2 = 219^2 p = 528
132^2 + 176^2 = 220^2 p = 528
21^2 + 220^2 = 221^2 p = 462
85^2 + 204^2 = 221^2 p = 510
